studentId,subjectId
HT20261005,CS301
HT20261006,CS301
HT20261007,CS301
HT20261008,CS301
HT20261009,CS301
HT20261010,CS301
HT20261011,CS301
HT20261012,CS301
HT20261013,CS301
HT20261014,CS301
HT20261015,CS301
HT20261016,CS301
HT20261017,CS301
HT20261018,CS301
HT20261019,CS301
HT20261020,CS301
HT20261021,CS301
HT20261022,CS301
HT20261023,CS301
HT20261024,CS301
HT20261025,CS301
HT20261026,CS301
HT20261027,CS301
HT20261028,CS301
HT20261029,CS301
HT20261030,CS301
HT20261031,CS301
HT20261032,CS301
HT20261033,CS301
HT20261034,CS301
HT20261035,CS301
HT20261036,CS301
HT20261037,CS301
HT20261038,CS301
HT20261039,CS301
HT20261040,CS301
HT20261041,CS301
HT20261042,CS301
HT20261043,CS301
HT20261044,CS301
HT20261045,CS301
HT20261046,CS301
HT20261047,CS301
HT20261048,CS301
HT20261049,CS301
HT20261050,CS301
HT20261051,CS301
HT20261052,CS301
HT20261053,CS301
HT20261054,CS301
HT20261055,CS301
HT20261056,CS301
HT20261057,CS301
HT20261058,CS301
HT20261059,CS301
HT20261060,CS301
HT20261061,CS301
HT20261062,CS301
HT20261063,CS301
HT20261064,CS301
HT20261065,CS301
HT20261066,CS301
HT20261067,CS301
HT20261068,CS301
HT20261069,CS301
HT20261070,CS301
HT20261071,CS301
HT20261072,CS301
HT20261073,CS301
HT20261074,CS301
HT20261075,CS301
HT20261076,CS301
HT20261077,CS301
HT20261078,CS301
HT20261079,CS301
HT20261080,CS301
HT20261081,CS301
HT20261082,CS301
HT20261083,CS301
HT20261084,CS301
HT20261085,CS301
HT20261086,CS301
HT20261087,CS301
HT20261088,CS301
HT20261089,CS301
HT20261090,CS301
HT20261091,CS301
HT20261092,CS301
HT20261093,CS301
HT20261094,CS301
HT20261095,CS301
HT20261096,CS301
HT20261097,CS301
HT20261098,CS301
HT20261099,CS301
HT20261100,CS301
HT20261101,CS301
HT20261102,CS301
HT20261103,CS301
HT20261104,CS301
HT20261105,CS301
HT20261106,CS301
HT20261107,CS301
HT20261108,CS301
HT20261109,CS301
HT20261110,CS301
HT20261111,CS301
HT20261112,CS301
HT20261113,CS301
HT20261114,CS301
HT20261115,CS301
HT20261116,CS301
HT20261117,CS301
HT20261118,CS301
HT20261119,CS301
HT20261120,CS301
HT20261121,CS301
HT20261122,CS301
HT20261123,CS301
HT20261124,CS301
HT20261125,CS301
HT20261126,CS301
HT20261127,CS301
HT20261128,CS301
HT20261129,CS301
HT20261130,CS301
HT20261131,CS301
HT20261132,CS301
HT20261133,CS301
HT20261134,CS301
HT20261135,CS301
HT20261136,CS301
HT20261137,CS301
HT20261138,CS301
HT20261139,CS301
HT20261140,CS301
HT20261141,CS301
HT20261142,CS301
HT20261143,CS301
HT20261144,CS301
HT20261145,CS301
HT20261146,CS301
HT20261147,CS301
HT20261148,CS301
HT20261149,CS301
HT20261150,CS301
HT20261151,CS301
HT20261152,CS301
HT20261153,CS301
HT20261154,CS301
HT20261155,CS301
HT20261156,CS301
HT20261157,CS301
HT20261158,CS301
HT20261159,CS301
HT20261160,CS301
HT20261161,CS301
HT20261162,CS301
HT20261163,CS301
HT20261164,CS301
HT20261165,CS301
HT20261166,CS301
HT20261167,CS301
HT20261168,CS301
HT20261169,CS301
HT20261170,CS301
HT20261171,CS301
HT20261172,CS301
HT20261173,CS301
HT20261174,CS301
HT20261175,CS301
HT20261176,CS301
HT20261177,CS301
HT20261178,CS301
HT20261179,CS301
HT20261180,CS301
HT20261181,CS301
HT20261182,CS301
HT20261183,CS301
HT20261184,CS301
HT20261185,CS301
HT20261186,CS301
HT20261187,CS301
HT20261188,CS301
HT20261189,CS301
HT20261190,CS301
HT20261191,CS301
HT20261192,CS301
HT20261193,CS301
HT20261194,CS301
HT20261195,CS301
HT20261196,CS301
HT20261197,CS301
HT20261198,CS301
HT20261199,CS301
HT20261200,CS301
HT20261201,CS301
HT20261202,CS301
HT20261203,CS301
HT20261204,CS301
HT20261205,CS301
HT20261206,CS301
HT20261207,CS301
HT20261208,CS301
HT20261209,CS301
HT20261210,CS301
HT20261211,CS301
HT20261212,CS301
