examName,examCode,seriesId,subjectId,examDate,startTime,endTime
Java Programming Mid-1,EX-CS301,1,1,2026-09-15,10:00,13:00
Database Management Systems Mid-1,EX-CS302,1,1,2026-09-16,10:00,13:00
Operating Systems Mid-1,EX-CS303,1,1,2026-09-17,10:00,13:00
Computer Networks Mid-1,EX-CS304,1,1,2026-09-18,10:00,13:00
Machine Learning Mid-1,EX-AI301,1,1,2026-09-19,10:00,13:00
Artificial Intelligence Mid-1,EX-AI302,1,1,2026-09-20,10:00,13:00
Digital Electronics Mid-1,EX-EC301,1,1,2026-09-21,10:00,13:00
Power Systems Mid-1,EX-EE301,1,1,2026-09-22,10:00,13:00
Thermodynamics Mid-1,EX-ME301,1,1,2026-09-23,10:00,13:00
Surveying Mid-1,EX-CV301,1,1,2026-09-24,10:00,13:00
